Muni	How to behave to become a Sage 	Sutta Nipata 1:1–3, 1:5, 1:12, 2:6, 2:11, 2:13, 3:4–5, 3:9, 3:11, 4:6–7, 4:9–10, 4:14–16, 5:1–2, 5:7, 5:9	Retain the directness and urgency, reference to K.R. Norman, Bhikkhu Bodhi, and  Ñāṇadīpa	accurate and readable version rendering the verses in a style that is more uplifting	Meaning, root meaning of words same order of lines	free verse,  fewest distortions in meaning, poetic energy Thai	Poetic aesthetics  capture the subtlety of the Pali language	Impact on the mind and practical application 	 	 
1	2.11 Rahula 	“Kacci abhiṇhasaṁvāsā, nāvajānāsi paṇḍitaṁ Ukkādhāro manussānaṁ, kacci apacito tayā”.	“Does familiarity breed contempt, even for the man of wisdom? Do you honor he who holds aloft the torch for all humanity?”	“Do you not despise the wise man because of constantly living with him? Is the torchbearer of humankind always respected by you?”		“From living with him often do you not despise the wise man? Is the one who holds up the torch for human beings honored by you?”	(Buddha) From living together constantly, the Teacher you don’t scorn? Torch-bearer to humanity, is he by you revered?		335	 See also: MN 61; MN 62; MN 147; Thag 4:8 
2	2.11 Rahula 	“Nāhaṁ abhiṇhasaṁvāsā, avajānāmi paṇḍitaṁ; Ukkādhāro manussānaṁ, niccaṁ apacito mayā”.	“Familiarity breeds no contempt for the man of wisdom. I always honor he who holds aloft the torch for all humanity.”	“I do not despise the wise man because of constantly living with him. The torchbearer of humankind is always respected by me.”		“From living with him often I don’t despise the wise man. The one who holds up the torch for human beings is honored by me.”	(Rahula) From living together constantly, the Teacher I scorn not. Torch-bearer to humanity is by me revered.		336	
3	2.11 Rahula 	“Pañca kāmaguṇe hitvā, piyarūpe manorame; Saddhāya gharā nikkhamma, dukkhassantakaro bhava.	“One who’s given up the five sensual stimulations, so pleasing and delightful, and who’s left the home life out of faith— let them make an end to suffering!	“Having given up the five strands of sensual pleasure, so pleasing and delightful to the mind, having renounced the home life out of faith, be one who makes an end to suffering.		“Abandoning the five strings of sensuality, endearing, charming, going forth from home through conviction, be one who puts an end to suffering &stress.	(Buddha) Having let go five sense-desires, and forms that are dear, delighting mind, with faith renounce the household life, be one who dukkha ends.	“Abandoning the five strings of sensuality, endearing, charming, going forth from home through conviction, be one who puts an end to suffering &stress.	337	
4	2.11 Rahula 	Mitte bhajassu kalyāṇe, pantañca sayanāsanaṁ; Vivittaṁ appanigghosaṁ, mattaññū hohi bhojane.	Mix with spiritual friends, stay in remote lodgings, secluded and quiet, and eat in moderation.	“Associate with good friends, and resort to a remote lodging, secluded, a place with little noise; be moderate in eating.		Cultivate admirable friends and an isolated dwelling, secluded, with next-to-no noise. Know moderation in eating.	Keep company with noble friends, dwell in a lonely practice-place, secluded, having little noise, with food be moderate.	Associate with spiritual friends, stay in remote lodgings, secluded and quiet, and eat in moderation.	338	
5	2.11 Rahula 	Cīvare piṇḍapāte ca, paccaye sayanāsane; Etesu taṇhaṁ mākāsi, mā lokaṁ punarāgami.	Robes, almsfood, requisites and lodgings: don’t crave such things; don’t come back to this world again	“Do not give rise to craving for these — a robe and almsfood, requisites and a lodging: do not come back to the world again.		Robe, alms-food, requisites, dwellings: Don’t create craving for these. Don’t be one who returns to the world.	Robes as well as food from alms, with shelter, also remedies— for these things no craving form, so turn not to the world again.	Robes, almsfood, requisites and lodgings: don’t crave such things; don’t come back to this world again	339	
6	2.11 Rahula 	Saṁvuto pātimokkhasmiṁ, indriyesu ca pañcasu; Sati kāyagatā tyatthu, nibbidābahulo bhava.	Be restrained in the monastic code, and the five sense faculties, With mindfulness immersed in the body, be full of disillusionment.	“Be restrained by the Pātimokkha and in the five sense faculties. Let your mindfulness be directed to the body; be full of disenchantment [toward the world].		Don’t be one who returns to the world. Restrained in the Pāṭimokkha and the five faculties, have mindfulness immersed in the body, be one who’s cultivated disenchantment.	By Pāṭimokkha stay restrained and by the five sense faculties, practise bodily mindfulness to be dispassionate.	Be restrained in the monastic code, and the five sense faculties, With mindfulness immersed in the body, become disenchanted.	340	
7	2.11 Rahula 	Nimittaṁ parivajjehi, subhaṁ rāgūpasañhitaṁ; Asubhāya cittaṁ bhāvehi, ekaggaṁ susamāhitaṁ.	Turn away from the feature of things that’s attractive, provoking lust. With mind unified and serene, meditate on the ugly aspects of the body.	“Avoid the mark [of sensual objects], which is beautiful and connected with lust. Develop your mind on the unattractive; [make it] one-pointed, well concentrated.		Avoid the theme of beauty, connected with passion. Develop the mind in the unattractive— gathered into one,1 well-centered.	Avoid those objects beautiful, which may be linked with lust, on the unlovely, one-pointed, well-concentrated, grow the mind	Avoid the theme of beauty, connected with passion. Develop the mind in the unattractive— unified, composed 	341	
8	2.11 Rahula 	Animittañca bhāvehi, Mānānusayamujjaha; Tato mānābhisamayā, Upasanto carissatī”ti.	Meditate on the signless, give up the tendency to conceit; and when you comprehend conceit, you will live at peace.”	“And develop the markless state, discard the latent tendency to conceit. Then, by breaking through conceit, you will live in tranquil peace.”		Develop the themeless.2 Give up obsession with conceit. Then, from having broken through conceit, you will go about, stilled.”	Develop then the signless state, with tendency to pride let go— by fully understanding it, truly as peaceful you will fare.	Develop the themeless. Give up obsession with conceit. Then, from having broken through conceit, you will go about, stilled.”	342	 See also: MN 61; MN 62; MN 147; Thag 4:8
1	2.13  SAMMĀPARIBBĀJANIYA WANDERING RIGHTLY	pucchāmi muniṃ pahūtapaññaṃ tiṇṇaṃ pāraṅgataṃ parinibbutaṃ ṭhitattaṃ nikkhamma gharā panujja kāme kathaṃ bhikkhu sammā so loke paribbajeyya	“I ask the sage abounding in wisdom— crossed-over, gone beyond, quenched, steadfast: when a mendicant has left home, expelling sensuality, what’s the right way to wander the world?	“I ask the muni, one of abundant wisdom, who has crossed over, gone beyond, attained nibbāna, inwardly firm: having renounced the home life and discarded sensual pleasures, how would that bhikkhu properly wander in the world?”	I ask the Muni of great wisdom, crossed over, gone to the other shore, quenched and balanced: having gone forth from the house and dismissed sensual pleasures how would a monk fare rightly in the world?	“I ask the sage of abundant discernment, crossed over to the far shore, totally unbound, steadfast in mind: Leaving home, rejecting sensuality, how does one wander rightly in the world?”1	Of the Sage of great wisdom, one gone across, to the further shore gone, completely Cool, poised who’s renounced a house, sense-pleasures dispelled, I ask: How would a bhikkhu rightly wander in the world?	“I ask the muni, of abundant wisdom, who has crossed over, gone beyond, attained nibbāna, composed: having renounced the home life and discarded sensual pleasures, how would a bhikkhu rightly wander in the world?”	359	
2	2.13  SAMMĀPARIBBĀJANIYA WANDERING RIGHTLY	yassa maṅgalā samūhatā (iti bhagavā) uppātā supinā ca lakkhaṇā ca so maṅgaladosavippahīno sammā so loke paribbajeyya	When they’ve eradicated superstitions,” said the Buddha, “about celestial portents, dreams, or bodily marks; with the stain of superstitions left behind, they’d rightly wander the world.	“When he was uprooted [concern with] blessings,” (said the Blessed One), “with portents,115 dreams, and lucky signs, when he has abandoned the defects of blessings, that bhikkhu would properly wander in the world.	He who has abolished fortune-looking,  shooting stars, dreams and portents, he, with the blemish of fortune-looking fully abandoned, would fare rightly in the world.	The Buddha: “Whoever’s omens are uprooted, as are meteors, dreams, &marks,2 whose fault of omens is completely abandoned: He would wander rightly in the world.	Who has destroyed (belief ) in omens, in luck, the occurrence of dreams and other signs such, who is rid of the bane of what is auspicious, such a one rightly would wander in the world.	When they’ve eradicated divinations,” said the Buddha, “about omens, dreams, or signs; with the stain of divination left behind, they’d rightly wander the world.	360	
3	2.13  SAMMĀPARIBBĀJANIYA WANDERING RIGHTLY	rāgaṃ vinayetha mānusesu dibbesu kāmesu cāpi bhikkhu atikkamma bhavaṃ samecca dhammaṃ sammā so loke paribbajeyya	A mendicant ought dispel desire for pleasures human or divine; with rebirth transcended and truth comprehended, they’d rightly wander the world.	“A bhikkhu should remove lust for sensual pleasures, for pleasures both human and celestial; having transcended existence, having penetrated the Dhamma, he would properly wander in the world.	The monk should dispel his lust for human pleasures as well as for the divine ones. Transcending existence and realising the Dhamma— he would fare rightly in the world.	A monk should subdue passion for sensualities human &even divine. Having gone past becoming, and met with the Dhamma, he would wander rightly in the world.	Who sensuality is able to divert— both varieties, human and divine—such a bhikkhu passed beyond being, knowing Dharma well, such a one rightly would wander in the world.	A bhikkhu should dispel desire for pleasures human or divine; transcending becoming by met the Dhamma, they’d rightly wander the world.	361	
4	2.13  SAMMĀPARIBBĀJANIYA WANDERING RIGHTLY	vipiṭṭhikatvāna pesuṇāni kodhaṃ kadarīyaṃ jaheyya bhikkhu anurodhavirodhavippahīno sammā so loke paribbajeyya	Putting divisiveness behind them, a mendicant gives up anger and stinginess; with favoring and opposing left behind, they’d rightly wander the world.	“Having put behind him divisive words, a bhikkhu should discard anger and meanness; when he has abandoned attraction and repulsion, he would properly wander in the world.	Turning his back on slanders the monk should abandon anger and avarice. With attraction and opposition fully abandoned— he would fare rightly in the world.	Putting behind him divisive tale-bearing, a monk should abandon anger &meanness. With favoring &opposing totally abandoned, he would wander rightly in the world.	Anger and avarice by the bhikkhu abandoned, his back having turned upon slander as well, compliance, opposition, completely disappeared, such a one rightly would wander in the world.	Putting divisiveness behind, a bhikkhu gives up anger and avarice; removed of attraction and repulsion  they’d rightly wander the world.	362	
5	2.13  SAMMĀPARIBBĀJANIYA WANDERING RIGHTLY	hitvāna piyañca appiyañca anupādāya anissito kuhiñci saṃyojaniyehi vippamutto sammā so loke paribbajeyya	When the loved and the unloved are both left behind, not grasping or dependent on anything; freed from all things that fetter, they’d rightly wander the world.	“Having abandoned what is pleasing and displeasing, without clinging, not depending on anything, utterly released from things that fetter, he would properly wander in the world.	Having abandoned the liked and the disliked, not taking up, he is not dependent on anything. From things that fetter well-released— he would fare rightly in the world.	Having abandoned dear &undear, independent—through no-clinging—of anything at all, fully released from fetters, he would wander rightly in the world.	Letting go the pleasant, what’s unpleasant too, ungrasping, unsupported by nothing at all, from all the causes for the fetters—completely free, such a one rightly would wander in the world.	letting go of dear and undear, not attached nor dependent anywhere; released from all things that fetter, they’d rightly wander the world.	363	
6	2.13  SAMMĀPARIBBĀJANIYA WANDERING RIGHTLY	na so upadhīsu sārameti ādānesu vineyya chandarāgaṃ so anissito anaññaneyyo sammā so loke paribbajeyya	Finding no substance in attachments, rid of desire for things they’ve acquired, independent, needing no-one to guide them, they’d rightly wander the world.	“He does not find a core in acquisitions, having removed desire and lust for things taken up; not dependent, not to be led by others, he would properly wander in the world.	He does not go for an essence in appropriations, for things taken up he dispels desire and lust. Being independent and not guidable by others— he would fare rightly in the world.	He finds no essence in acquisitions, having subdued passion-desire for graspings, independent is he, by others unled: He would wander rightly in the world.	Seeing no essence in mental substrata, dispelled passionate desire for what can be grasped, not being dependent or led by another, such a one rightly would wander in the world.	Seeing no essence in appropriations, dispelled passion desire for acquisitions, independent, not ruled by others, they'd rightly wander in the world.	364	
7	2.13  SAMMĀPARIBBĀJANIYA WANDERING RIGHTLY	vacasā manasā ca kammunā ca aviruddho sammā viditvā dhammaṃ nibbānapadābhipatthayāno sammā so loke paribbajeyya	Not hostile in speech, mind, or deed, they’ve rightly understood the teaching. Aspiring to the state of quenching, they’d rightly wander the world.	“Not hostile by speech, mind, and deed, having rightly understood the Dhamma, aspiring for the state of nibbāna, he would properly wander in the world.	In word, thought and deed, not acting contrarily having rightly understood the Dhamma, aspiring to the state of quenching— he would fare rightly in the world.	Having rightly found the Dhamma, he is unobstructed in speech, mind, &act. Aspiring to unbinding, he would wander rightly in the world.	In speech, mind and deed to others unopposed and knowing very well the Dharma’s full extent, and one who is aspiring to the state of Nirvāṇa, such a one rightly would wander in the world.	Speech, mind, and deed, in line with the Dhamma having rightly understood it, aspiring for the state of nibbāna, they’d rightly wander the world.	365	
8	2.13  SAMMĀPARIBBĀJANIYA WANDERING RIGHTLY	yo vandati manti nunnameyya akkuṭṭhopi na sandhiyetha bhikkhu laddhā parabhojanaṃ na majje sammā so loke paribbajeyya	Not pridefully thinking, ‘they bow to me’; though reviled, they’d still stay in touch;  not besotted when getting food from others, they’d rightly wander the world.	“A bhikkhu should not be elated, thinking, ‘He venerates me,’ and though insulted, he should not nurture resentment; he should not be intoxicated over food gained from others: he would properly wander in the world.	The bhikkhu should not get elated thinking “he worships me”. Being abused he should not feel resentment. Having received the food offered by others he should not indulge— in that way he would fare rightly in the world	A monk who’d not gloat, “He venerates me,” or brood when insulted, or be elated on receiving food from another: He would wander rightly in the world.	The bhikkhu not conceited thinking, “Me he reveres”, nor on being abused does he retaliate, nor thrilled with others donations of food, such a one rightly would wander in the world.	A bhikkhu should not be proud, when venerated  neither resentful when insulted, nor elated when receiving food from others: they’d rightly wander the world.	366	
9	2.13  SAMMĀPARIBBĀJANIYA WANDERING RIGHTLY	lobhañca bhavañca vippahāya virato chedanabandhanā ca bhikkhu so tiṇṇakathaṃkatho visallo sammā so loke paribbajeyya	When greed and craving to live again are cast off, a mendicant refrains from violence and abduction; rid of doubt, free of thorns, they’d rightly wander the world.	“Having abandoned greed and existence, a bhikkhu refraining from wounding and binding, who has overcome perplexity, without darts: he would properly wander in the world.	Having abandoned greed and existence, abstaining from cutting and binding, the monk, crossed over doubt, with barb pulled out— he would fare rightly in the world	Fully abandoning greed &becoming, abstaining from cutting &binding (other beings), he, having crossed over doubt, de-arrowed, he would wander rightly in the world.	For greed and for being, the bhikkhu’s let go, as for injury and bondage it’s not done by him crossed over doubts, removed is the dart, such a one rightly would wander in the world	Greed and becoming, a bhikkhu lets go, splitting and binding he abstains  rid of doubt, free of thorns, they’d rightly wander the world.”	367	
