Atthaka vagga 			Translators approach	Meaning, root meaning of words same order of lines	Retain the directness and urgency, reference to K.R. Norman, Bhikkhu Bodhi, and  Ñāṇadīpa	free verse,  fewest distortions in meaning, poetic energy Thai	accurate and readable version rendering the verses in a style that is more uplifting	Poetic aesthetics  capture the subtlety of the Pali language	Diferent approache occasionally more natural interpretations 	Impact on the mind		engaging in philosophical debates (4:3, 4:5, 4:8, 4:11–13), 	
2.4	GUHAṬṬHAKA	Cave octet	tasmā hi sikkhetha idheva jantu yaṁ kiñci jaññā visamanti loke na tassa hetū visamaṁ careyya appañhidaṁ jīvitamāhu dhīrā	Therefore a person should train himself in this way: whatever he would come to know as uneven in the world not for the sake of that should he practice unevenly; for short indeed is this life, the wise say.	That’s why a person should train in this life: should you know that anything in the world is wrong, don’t act wrongly on account of that; for the wise say this life is short	So a person should train right here-&-now. Whatever you know as discordant in the world, don’t, for its sake, act discordantly, for that life, the enlightened say, is short.	Therefore a person should train right here: whatever in the world one might know as unrighteous, one should not on its account act unrighteously, for the wise say this life is short.	Therefore should a person train, Seeing the roughness of the world, To take not to a wicked way, For the wise say, life is short!	A man that is born" should know_ this: "The world that is amiss is hard to lean on; Leaving the right, no thoughts of attachments I - should cherish; Short is my life and Death very near."		775		Renunciation 
2.5	GUHAṬṬHAKA	Cave octet	passāmi loke pariphandamānaṁ pajaṁ imaṁ taṇhagataṁ bhavesu hīnā narā maccumukhe lapanti avītataṇhāse bhavābhavesu	I see in the world the trembling humankind involved with craving for repeated existences, poor people who wail in the face of death not freed of craving for various existences.	I see the world’s population floundering, given to craving for future lives. Base men wail in the jaws of death, not rid of craving for life after life.	I see them, in the world, floundering around, people immersed in craving for states of becoming. Base people moan in the mouth of death, their craving, for states of becoming &not-, unallayed.	I see in the world this population trembling all over, addicted to craving for states of existence; inferior people prattle in the mouth of death, not devoid of craving for various states of existence.	I see here trembling, fearful in the world, These people gone under the sway of craving for births¹— Base people floundering in the jaws of death, Not free from craving for repeated birth.	Widely unfolded is the suffering in this world-Life and Death and this flood of craving. Till the time of death, over hatred doth one brood, Because of craving for this world, that is widely _ rejected 		776		Renunciation 
2.6	GUHAṬṬHAKA	Cave octet	mamāyite passatha phandamāne maccheva appodake khīṇasote etampi disvā amamo careyya bhavesu āsattimakubbamāno	See how they tremble in what they made “mine” like fish in a pool after the flow has ceased. Having seen that one should live without ‘mine-making’ not forming attachment for existences.	See them flounder over belongings, like fish in puddles of a dried-up stream. Seeing this, live unselfishly, forming no attachment to future lives.	See them, floundering in their sense of mine, like fish in the puddles of a dried-up stream and, seeing this, live with no mine, not forming attachment for states of becoming.	See them trembling over things taken as “mine” like fish in a depleted stream with little water. Having seen this too, one should take nothing as “mine,” not forming attachment to states of existence.	Look at them trembling with their egotistic selfishness, Like fish in a stream fast drying-up, Seeing it so, fare unselfish in this life, And cease worrying on different states of being.	“Amongst one’s belongings, with pain doth one throb, Like fish in scanty water from which stream is cut 05;" With an insight [into this truth], one’s belongings doth one cut ofi; How will he then aspire after the three realms“ ?		777		Renunciation 
2.7	GUHAṬṬHAKA	Cave octet	ubhosu antesu vineyya chandaṁ phassaṁ pariññāya anānugiddho yadattagarahī tadakubbamāno na lippatī diṭṭhasutesu dhīro	Dispelling desire for both extremes, fully understanding contact, without becoming greedy, not doing that for which he would blame himself, a wise man does not get stuck in the seen and the heard.	Rid of desire for both ends, having completely understand contact, free of greed, doing nothing for which they’d blame themselves, the wise don’t cling to the seen and the heard.	Subdue desire for both sides, comprehending sensory contact, with no greed. Doing nothing for which he would rebuke himself, the enlightened person doesn’t adhere to what’s seen, to what’s heard.	Having removed desire for both ends, having fully understood contact, without greed, not doing anything for which one might blame oneself, the wise person is not tainted by things seen or heard.	No longer longing towards either extreme Having understood touch, together with letting go, One should do what others will praise and not blame, A wise one is not stained by what is seen and heard	Having removed“ the longing for both the extremes, With no attachment,full comprehension doth he possess; Never doth he practise what he himself doth condemn. In what he sees and hears, he never gets soiled.		778	Bapat: The ‘extremes‘ referred to in this line are phaua and pheasa-aamudeia etc. as explained in SnCm. 517, and Mahiniddesa i.62, but we thi they may as well be the two extremes of eternity and of annihilation	Renunciation 
2.8	GUHAṬṬHAKA	Cave octet	saññaṁ pariññā vitareyya oghaṁ pariggahesu muni nopalitto abbūḷhasallo caramappamatto nāsiṁsatī lokamimaṁ parañcāti	Fully understanding perception he would cross the flood, the Muni who is not stuck in possessions. With the barb pulled out, practising diligently he does not long for this world or the other.	Having understood perception and crossed the flood, the sage, not clinging to possessions, with dart plucked out, living diligently, does not long for this world or the next	Comprehending perception, he’d cross over the flood— the sage not stuck on possessions. Then, with arrow removed, living heedfully, he longs for neither this world, the next.	Having fully understood perception, one can cross the flood. The muni, untainted by possessions, with the dart extracted, living heedfully, does not desire this world or another.	The sage has known perception and crossed the flood, So with nothing tainted, nothing wrapped around, They fare on in diligence with the arrow drawn, Neither longing for this world nor for another	Understanding perceptions, of crossing the flood doth he think, In personal belongings, the Honoured One doth never get mixed up; With vigour, he takes out [the dart] that lies within." Thus doth he shape himself, until no doubt is left in him		779		Renunciation 
3.1	DUṬṬHAṬṬHAKA	Corrupted Octet	vadanti ve duṭṭhamanāpi eke athopi ve saccamanā vadanti vādañca jātaṁ muni no upeti tasmā munī natthi khilo kuhiñci	Though some will speak with a corrupt mind some others will speak with an honest mind. But the debate thus arisen the Muni does not engage in, therefore, for the Muni there is no barrenness anywhere.	Some speak with malicious intent, while other speak set on truth. When disputes come up a sage does not get involved, which is why they’ve no barrenness at all.	There are some who dispute corrupted at heart, and those who dispute their hearts set on truth, but a sage doesn’t enter a dispute that’s arisen, which is why he has no rigidity anywhere at all.	Some speak with hostile minds, while some speak with minds bent on truth. The muni does not become involved in an arisen dispute; therefore the muni has no barrenness anywhere.	Some speak with wicked intent, while others are convinced their words are due, but whatever talk there is the sage enters no debate, therefore nowhere barren is the silent sage.	Short (i.e. cutting) are the words which the evilminded say, Good are those said by [men] that have grasped the Truth; When a wordy fight has its course, the Honoured One Uses no words, good or bad, and so never doth he suffer		780	See also: MN 18; MN 22; MN 58; MN 72; AN 2:36	disputes 
3.2	DUṬṬHAṬṬHAKA	Corrupted Octet	sakañhi diṭṭhiṁ kathamaccayeyya chandānunīto ruciyā niviṭṭho sayaṁ samattāni pakubbamāno yathā hi jāneyya tathā vadeyya	How could one go beyond one’s own view if one is led by desire and preoccupied with one’s likes? Making one’s own assumptions as one knows so would one speak.	How can you transcend your own view when you’re led by preference, dogmatic in belief? Inventing your own undertakings, you’d speak according to your notion.	Now, how would one led on by desire, entrenched in his likes, forming his own conclusions, overcome his own views? He’d dispute in line with the way that he knows.	How could one transcend one’s own view if, drawn by desire, one is entrenched in a preference? Taking one’s own [view] to be perfect, one would speak as one understands.	But a person led by his own desires, and then continuing accordingly finds it hard, to let them go, accepting his own thoughts as true, becomes one who speaks as a believer.	In his behaviour, how can he—[the heretic]—give up it The worldly [attachments], dominated as he is by ‘ desires? Undisturbed, he doth embrace his virtues supreme— l Those that are a taboo to him whose desires are curbed		781	The occasion is the same—the murder of Sundari, but the story in the Chinese version is told with rich variations pointing to a later origin.	views 
3.3	DUṬṬHAṬṬHAKA	Corrupted Octet	yo attano sīlavatāni jantu anānupuṭṭhova paresa pāvā anariyadhammaṁ kusalā tamāhu yo ātumānaṁ sayameva pāvā	The person who tells his own virtue and practice to others even if unasked for, skillful ones will call “one of ignoble nature”— the one who by himself declares himself.	 Some, unasked, tell others of their own precepts and vows. They have an ignoble nature, say the experts, since they speak about themselves of their own accord.	Whoever boasts to others, unasked, of his practices, habits, is, say the skilled, ignoble by nature— he who speaks of himself of his own accord.	When a person, without being asked, proclaims to others his own good behavior and observances, the skilled say he is one of ignoble nature, since on his own accord he proclaims himself.	So if a person without being asked, having practiced and praised virtues, even those of himself, invented by himself, the good say this is an ignoble act indeed.	If a man observing his rules and practices of conduct, Declares them first, without being asked about them, The righteous question the same and call it unlawful—- So are they who to the mendicants go and self-purity declare		782		selfish 
3.4	DUṬṬHAṬṬHAKA	Corrupted Octet	santo ca bhikkhu abhinibbutatto itihanti sīlesu akatthamāno tamariyadhammaṁ kusalā vadanti yassussadā natthi kuhiñci loke	But the calm monk, cool in his heart, not boasting “Thus am I” regarding virtues, skillful ones will call “one of noble nature”— the one for whom there are no prominences.	A mendicant, peaceful, quenched, never boasts “thus am I” of their precepts. They have a noble nature, say the experts, not proud of anything in the world.	But a monk at peace, fully unbound in himself, not boasting of his habits —”That’s how I am”— he, say the skilled, is noble by nature— he with no vanity anywhere in the world.	But when a peaceful bhikkhu, one inwardly quenched, does not boast of his good behavior by saying, “I am thus,” the skilled say he is one of noble nature who has no swellings anywhere in the world.	But that bhikkhu who’s serene at heart and praises neither his own practices or virtue, not labelling himself “I” in “this”, the good praise him: “No arrogance has he for anything in the world”.	Due to quiescence, worldly things he never doth hug, Nor does he boast of his strict observance of conduct; The wise believe this to be the lawful course, When they instruct the people with attachment . none.		783		unselfish 
3.5	DUṬṬHAṬṬHAKA	Corrupted Octet	pakappitā saṅkhatā yassa dhammā purakkhatā santi avīvadātā yadattani passati ānisaṁsaṁ taṁ nissito kuppapaṭiccasantiṁ	He whose ideas are formed, constructed, and preferred, not having become purified, whatever he sees as an advantage in himself he relies on that—a peace dependent on the shakeable.	For one who formulates and creates teachings, and promotes them despite their defects, if they see an advantage for themselves, they become dependent on that, relying on unstable peace.	One whose doctrines aren’t clean— fabricated, formed, given preference when he sees it to his own advantage relies on a peace dependent on the provoked.	One who has formulated impure teachings, put them together and advanced them, becomes attached to the benefit he sees for himself, to that peace dependent on the unstable.	Who’s thoughts, imagined and put together, then prefer even though their source is not purified, seeing advantage for himself, he relies upon this, depending on what is imagined, constructed and conventional.	The Law" he utters is neither hidden nor decayed; The Honoured One is censured, and yet thinks: ‘I have neither joy nor fear‘. On his practices, he locks and finds them never amiss or leaky, With attachment he never thinks of them. _Hcw“ can there then be anger or joy?		784	different 784, 785 and 787	views 
3.6	DUṬṬHAṬṬHAKA	Corrupted Octet	diṭṭhīnivesā na hi svātivattā dhammesu niccheyya samuggahītaṁ tasmā naro tesu nivesanesu nirassatī ādiyatī ca dhammaṁ	View-resorts are not easily overcome assumed after evaluation of ideas. Therefore a man among those resorts will reject an idea as he takes hold of another	It’s not easy to get over dogmatic views adopted after judging among the teachings. That’s why, among all these dogmas, a person rejects one teaching and takes up another.	Because entrenchments in views aren’t easily overcome when considering what’s grasped among doctrines, that’s why a person embraces or rejects a doctrine— in light of these very entrenchments.	Attachments to views are not easily overcome; having decided among teachings, one tightly grasps [a view]. Therefore, among those bases of attachment, a person rejects and takes up a teaching.	When one has grasped from among many Dharma-doctrines, after due considerations one clings to a View, or condemns those of others, hence it’s not easy to transcend those Dharmas.	Whatever he had, he has turned away and abandoned. Of the bright Law, he has taken with wise discrimination . Seeking the right vantage, the void doth he gain, As he knows all things to be characterised as, and rooted in.“ void		785		views 
3.7	DUṬṬHAṬṬHAKA	Corrupted Octet	dhonassa hi natthi kuhiñci loke pakappitā diṭṭhi bhavābhavesu māyañca mānañca pahāya dhono sa kena gaccheyya anūpayo so	For the cleansed one there is nowhere in the world a formed view about various existences. Having abandoned deceit and conceit, being cleansed, by what would he go? He is not an approacher.	The cleansed one has no formulated view at all in the world about the different realms. Having given up illusion and conceit, by what path would they go? They are not involved.	one who is cleansed has no theorized view about states of becoming or not- anywhere in the world. Having abandoned conceit & illusion, by what means would he go? He isn't involved 	One who is cleansed formulates no view anywhere in the world about various states of existence. Having abandoned hypocrisy and conceit, through what would the cleansed one go [astray]when he is uninvolved?	There is not in the world such a purified person who continues in these views about existential states, for this person of purity, let go of illusion and conceit, how can he be in any way reckoned?	To nothing is he attached. as nothing doth he possess; Never doth he crave for life in the three realms, Egoism and darkness‘ 5 all he has cut ofi. Say, how can he go and in what place can he himself lodge?		786		escape 
3.8	DUṬṬHAṬṬHAKA	Corrupted Octet	upayo hi dhammesu upeti vādaṁ anūpayaṁ kena kathaṁ vadeyya attā nirattā na hi tassa atthi adhosi so diṭṭhimidheva sabbanti	The one who approaches engages in debate regarding ideas— the non approacher by what, how, could you tell him?4 Taking up or rejecting—such things are not for him. He has shaken off all views here itself.	For one who is involved gets embroiled in disputes about teachings— but how to dispute with the uninvolved? About what? For picking up and putting down is not what they do; they have shaken off all views in this very life.	For one who’s involved enters into disputes over doctrines. But how—in connection with what would you argue with one uninvolved? He has nothing embraced or rejected, has sloughed off every view right here—every one.	One involved is embroiled in disputes about teachings; but how, about what, could one dispute with one uninvolved? Nothing is taken up or rejected by him; he has shaken off all views right here.	Who is not attached still enters into doctrinal debates, but one unattached, how could he take sides? For him nothing is taken up or put down, With all views shaken off, relying on none.	Whatever he should have had, he has broken and gone forth, Whatever his religion says, he neither loves nor clings to. Detachment he has attained and deliverance he has secured, By up-rooting, all things he has abandoned and gone far ahead		787		disputes 
4.1	SUDDHAṬṬHAKA	Pure octet	passāmi suddhaṁ paramaṁ arogaṁ diṭṭhena saṁsuddhi narassa hoti evābhijānaṁ paramanti ñatvā suddhānupassīti pacceti ñāṇaṁ	“I see the pure, the highest, the disease free. From the seen a man’s purity comes.” Understanding this, having known it as the highest, he refers to knowledge through seeing the pure	“I see a pure being of ultimate wellness; it is vision that grants a person purity.” Recalling this notion of the ultimate, they believe in the notion that there is one who observes purity.	“I see the pure, the supreme, free from disease. It’s in connection with what’s seen that a person’s purity is.” Understanding thus, having known the “supreme,” &remaining focused on purity, one falls back on that knowledge.	“I see the pure, the supreme health; a person achieves full purity through what is seen.” Directly knowing thus,195 having known “[It is] supreme,” “I contemplate the pure,” one falls back on knowledge.	“A pure one I see”, free completely from disease, so by “seeing” such (it is said) one attains to purity. Convinced about this and holding it highest that one relies on this knowledge while contemplating purity.	The pure and what is freed from disease’-I notice; I, the faithful, who see the Truth, and purity of self. He who knows this has full purity attained, Having cut o fiall sufiering which his self did . ,experience within.		788	See also: MN 61; AN 5:170	views 
4.2	SUDDHAṬṬHAKA	Pure octet	diṭṭhena ce suddhi narassa hoti ñāṇena vā so pajahāti dukkhaṁ aññena so sujjhati sopadhīko diṭṭhī hi naṁ pāva tathā vadānaṁ	If from the seen a man’s purity comes or through knowledge he abandons suffering, then he is purified by something other, being with appendages. His view betrays him as he speaks like that	If a person were granted purity through vision, or if by a notion they could give up suffering, then one with attachments is purified by another: their view betrays them as one who asserts thus.	If it’s in connection with what is seen that a person’s purity is, or if stress is abandoned in connection with knowledge, then a person with acquisitions is purified in connection with something else, for his view betrays that in the way he asserts it.	If a person gains purity by the seen, or if one abandons suffering by knowledge, then one with acquisitions is purified by another; the view proclaims him as one who asserts thus.	But if a person by seeings’ purified or if through such knowledge could leave dukkha aside then one with assets still by another could be purified: this view betrays one who speaks in this way.	‘By holding a good view, it is possible to make - one pure, By possessing wisdom, it is possible to be free from pain’— [Such] evil views the skilful give up and follow the path that's pure, Cutting o fiall such heresies, one doth realise the purity that is highest		789	The story in Chinese is quite different from that of Candibha in Pali.	views 
4.3	SUDDHAṬṬHAKA	Pure octet	na brāhmaṇo aññato suddhimāha diṭṭhe sute sīlavate mute vā puññe ca pāpe ca anūpalitto attañjaho nayidha pakubbamāno	The Brāhmaṇa does not speak of purity through something other, the seen, the heard, the thought, or virtue and practice. In both good and evil he remains unstuck, letting go of what was taken up he does not make up anything	The brahmin speaks not of purity from another in terms of what is seen, heard, or thought; or by precepts or vows. They are unsullied in the midst of good and evil, letting go what was picked up, without creating anything new here.	No holy man says purity comes in connection with anything else. Unsmeared with regard to what’s seen, heard, sensed, habits or practices, merit or evil, not creating anything here, he’s let go of what he’d embraced.	A brahmin does not speak of purity by another, by the seen and the heard, by good behavior and observances, by the sensed. Untainted by merit and by evil, he has discarded what was taken up without creating anything here.	The Brahmin says not that “by another, one is purified”— not by sights or by sounds, rites and vows and what’s sensed. Such person’s not stuck upon merit or evil, with selfishness renounced, constructing nothing here	No deliverance doth he gain from heresies diverse, From what is seen, or heard, from rites or rituals and beliefs; Never gets he tainted by merit or demerit; Everything he has relinquished, [even] love of fame		790	Stanza 790 of Sn. is so different from that in Chinese. We fail to see anything corresponding to_the famous Pali simile: kapi’oa sdkham. pamukham. gahdya	views 
4.4	SUDDHAṬṬHAKA	Pure octet	purimaṁ pahāya aparaṁ sitāse ejānugā te na taranti saṅgaṁ te uggahāyanti nirassajanti kapīva sākhaṁ pamuñcaṁ gahāyaṁ	Leaving the former, attached to the next, they are always on the move and do not cross attachment. They keep taking up and rejecting like a monkey leaving the old branch as it takes hold of a new one	Having let go the last they lay hold of the next; following impulse, they don’t get past the snare. They grab on and let go like a monkey grabbing and releasing a branch.	Abandoning what’s first, they depend on what’s next. Following perturbation, they don’t cross over the bond. They embrace &reject —like a monkey releasing a branch to seize at another	Having abandoned the former, attached to another, carried along by impulse, they do not cross the tie. They grab hold and let go, like a monkey grasping and letting go of a branch.	Former (things⁴) let go, then to other (things) attached, following craving, their bondage, they do not overcross, so they (continue) with grasping and discarding, as monkey letting go a branch to seize upon another	All aspirations he gives up, and no more doth he regret; Thus he acts and the four Floods’ doth he cross. As soon as he ceases to contemplate on suffering, He enters into bondage of thoughts, that rule his mind		791		
4.5	SUDDHAṬṬHAKA	Pure octet	sayaṁ samādāya vatāni jantu uccāvacaṁ gacchati saññasatto vidvā ca vedehi samecca dhammaṁ na uccāvacaṁ gacchati bhūripañño	A person by himself undertaking various practices goes high and low, attached to perceptions. But the knowing one who through knowledge has understood the Dhamma does not go high and low, being of broad wisdom.	Having undertaken their own vows, a person visits various teachers, being attached to perception. One who knows, having comprehended the truth through the knowledges, does not visit various teachers, being of vast wisdom.	a person undertaking practices on his own, goes high &low, latched onto perception. But having clearly known through vedas,8 having encountered the Dhamma, one deeply discerning doesn’t go high &low. 	Having undertaken observances by himself, a person goes up and down, attached to perception. But having realized the Dhamma with knowledge, the wise one, broad in wisdom, does not go up and down.	A person undertaking (holy) vows goes high and low— they waver, fettered by conditional perceptions. But one who has learnt well and the Dharma penetrated goes not up and down— that one of wisdom profound	He who constantly thinks of his rites and rituals, High horse doth he ride, or sinks into sufiering that he ‘ meets. By thinking ( 3 ) these thoughts, his rituals doth he ' practise a little, But the discriminating wise have no such words of pretence		792		
4.6	SUDDHAṬṬHAKA	Pure octet	sa sabbadhammesu visenibhūto yaṁ kiñci diṭṭhaṁ va sutaṁ mutaṁ vā tameva dassiṁ vivaṭaṁ carantaṁ kenīdha lokasmi vikappayeyya	Unopposed to all things he has become whether those seen and heard or those thought about. The one seeing just that, faring openly, by what in the world could you make him out?	They are remote from all things seen, heard, or thought. Seeing them living openly, how could anyone in this world judge them?	He’s enemy-free with regard to all things seen, heard, or sensed. By whom, with what, should he be pigeonholed here in the world? —one who has seen in this way, who goes around open.	One who is remote from all phenomena, from whatever is seen, heard, or sensed — how could anyone here in the world categorize him, that seer behaving openly?	Within all the dharmas whether seen or they’re heard, or otherwise sensed, this one fights not at all, that one who sees them nakedly while faring to the end, by whom in the world could he be described?	Doubts he has none for anything; for What he has seen or heard, or thought over; The Truth he has seen or heard, and with energy s-tarts its practice,- Who can make for him the world, that is no more than six‘ decaying things?		793		
