										
DN-34 vs DA-10	Helpful  bahukāro	Should Be Practice  bhāvetabbo	Should Be Completely  Understood parin͂n͂eyyo	Should Be abandon  paha͂tabbo	Leads to decline  ha͂na-bha͂giyo	Leads To Distinction visesa-bha͂giyo	Difficult to fathom  duppativijjho	Should Be brought into being  uppa͂detabbo	Are super normal powers abhin͂n͂eyyo	Should Be directly experienced  sacchikātabbo
										
										
Differences										
DN-33 & DA-10	Helpful  bahukāro	Should Be Practice  bhāvetabbo	Should Be Completely  Understood parin͂n͂eyyo	Should Be abandon  paha͂tabbo	Leads to decline  ha͂na-bha͂giyo	Leads To Distinction visesa-bha͂giyo	Difficult to fathom  duppativijjho	Should Be brought into being  uppa͂detabbo	Are super normal powers abhin͂n͂eyyo	Should Be directly experienced  sacchikātabbo
1 DN 33 green,  DA 10 blue							Continued samadhi without lapsing 	Unshakable knowledge	All beings are sustained by food.	Unshakable heart’s release
2  DN 33 green,  DA 10 blue	knowing upon self-reflection and shame before others	Moral shame and moral dread (hiri ca ottappañ ca)	knowing offences and rehabilitation from them (āpatti-kusalatā ca āpatti-vuṭṭhāna-kusalatā ca	Roughness and friendship with evil (dovacassatā ca pāpamittata ca	Unguarded sense-doors and non-restraint in eating (indriyesu aguttadvāratā ca bhojane amattaññutā ca	Straightforwardness and modesty (ajjavañ ca lajjavañ ca	The sign of calm and grasping the sign (samatha-nimittañ ca paggaha-nimittañ ca	Patience and gentleness (khanti ca soraccañ ca)	Being moved to a sense of urgency, and act upon it (saṁvego ca saṁvejaniyesu ṭhānesu saṁviggassa ca yoniso padhānaṁ	Purity of morality and view (sīla-visuddhi ca diṭṭhi-visuddhi ca
3 DN 33 green,  DA 10 blue	3 demonstrations:   of psychic power,  of revealing, and an instructional demonstration.	3 kinds of samadhi: .  1 emptiness of the self, 2 on signlessness, and 3 objectless or goal-free or undirected 	3 forms of suffering:   inherent in painful feeling, inherent in conditions, and in perishing	3 unskillful intentions, thoughts and perceptions:   sensuality, malice, and cruelty	3 vanities:   of health, the vanity of youth, and the vanity of life	3 grounds for making merit:   giving, ethical conduct, and meditation	3 faculties:   of understanding that one’s enlightenment is imminent,  of enlightenment, of one who is enlightened	3 kinds of development:   of physical endurance, of the mind, and of wisdom.	3 kinds of transcendence: escape from desire realm to the realm of form then to  realm of formlessness, and escape to cessation	3 kinds of wisdom:   produced by thought, learning, and meditation
4 DN 33 green,  DA 10 blue	4 bases of psychic power:  samadhi due to 1 enthusiasm, 2 mind development,  3 energy and 4 inquiry with active effort	4 Four right efforts.   efforts to restrain, to give up unskillful, unwholesome qualities   to develop, and to preserve skillful, wholesome qualities 	4 types persons.   practices to benefit 1 themselves, 2 others, 3 neither themselves nor others and 4 both themselves and others	4 ways of practice:  1 painful with slow insight, 2 painful with swift insight, 3 pleasant  with slow insight, and 4 pleasant with swift insight. Another 4 ways of practice: impatient, patient, taming, and calming practice	4 types of practices:  1 self mortification,  2 mortification of others, 3 mortify both themselves and  others and 4 doesn’t mortify either themselves or others having become holy in themselves	4 ways of purifying donations:  1 purified by the giver, 2 purified by the recipient, not the giver, 3 that’s purified by neither the giver nor the recipient and 4 purified by both the giver and the recipient	4 noble truths: suffering, the origin of suffering, the cessation of suffering, and the practice that leads to the cessation of suffering	4 ways of answering questions.   should be answered 1 definitively, 2 analytically, 3 counter-question and that should be set aside	4 factors of a stream-enterer: unshakable confidence in the Buddha, Dhamma and Sangha and ethical conduct  loved by the noble ones, unbroken and impeccable 	4 types deeds.  1 dark with dark result, 2 bright with bright result, 3 dark and bright with dark and bright result and neither dark nor bright deeds with neither dark nor bright results, which lead to the end of deeds
5 DN 33 green,  DA 10 blue	5 endowments:   with relatives, wealth, health, ethics, and view, because the last 2 one is reborn in good place	5 five modes of right samadhi: 1 inner joy, 2 mental recollection, 3 self-contentment or self-reliance, 4 a sense of pleasant ease, and 5 mental focus	5 faculties:   pleasure, pain, happiness, sadness, and equanimity	5 lower fetters:  1 identity view, 2 doubt, 3 misapprehension of precepts and observances, 4 sensual desire, and 5 ill will	5 emotional shackles:  1 passion and craving for sensual pleasures, 2 greed for the body, 3 greed for forms, 4 overeating and sleeping and 5 hoping to be reborn in deva realms	5 benefits of accomplished in ethics: 1 gains substantial wealth, 2 good reputation, 3 self-assured in any assembly, 4 dies not feeling lost and 5 reborn in a good place	5 destinations:   hell, the animal realm, the ghost realm, humanity, and the gods	5 non-returners:  1 extinguished between one life and the next, 2 upon landing, 3 without extra effort, 4 with extra effort, and 5 reborn in Akaniṭṭha realm	5 the abandon of higher fetters:  1 desire for rebirth in the realm of luminous form, 2 formless realm, 3 conceit, 4 restlessness, and 5 ignorance.	5 impossibles for an arahant:  can’t deliberately 1 kill, 2 intention to steal, 3 have sex, 4 tell a deliberate lie, or 5 store up goods for their own enjoyment
6 DN 33 green,  DA 10 blue			6 elements:   earth, water, fire, air, space, and consciousness	6 roots of quarrels: 1 someone is irritable and hostile, 2 offensive and contemptuous, 3 jealous and stingy, 4 devious and deceitful, 5 wicked desires and 6 wrong view and attached to their own views			6 clases of rebirth:  Someone born into a dark class 1 gives rise to a dark result, 2 gives rise to a bright result, 3gives rise to Nibbana   Someone born into a bright class 4 gives rise to a bright result, 5 gives rise to a dark result, 6 gives rise to Nibbana, which is neither dark nor bright.		6 clases of  consciousness, of contact, of perceptions, of feelings and intentions: base on 6 sense bases	
7 DN 33 green,  DA 10 blue	7 ways to settle disputes and offences: 1 proceedings face-to-face, 2 recollection (sati), 3 mental derangement, 4 confession, 5 majority verdict, 6 verdict of aggravated misconduct and 7 “covering over with grass			7 fetters:   attraction, aversion, views, doubt, conceit, desire to be reborn, and ignorance.					7 kinds of effort: 1 keen to practice precepts, 2 to learn, 3 to get rid of avarice, 4 keep right views  5 endeavor, 6 for mindfulness and alertness and 7 meditation and samadhi 	
8 DN 33 green,  DA 10 blue	8 bases for giving: 1 in occasions, 2 from fear, 3 thinking: “He 3 gave me, 4 will give me something”, 5 “It is good to give”, 6 “I have something, they do not. ”, 7 aspiring for good reputation, 8  to adorn and prepare one’s heart					8 kinds of rebirth due to generosity: aspiring to 1 be rich, 2 - 8 progressive deva realms. But only to moral persons free of passions 				
9 DN 33 green,  DA 10 blue							9 spiritual practices :  being endowed with sincere 1 faith, 2 moral precepts, 3 learnedness, 4 skill in preaching, 5 supporting the sangha, 6 discoursing to Sangha, 7 four jhanas, 8  eight liberations ,and  9 terminating the defilements 			
10 DN-34, DA 10 blue	10 protective qualities : 1 ethics, 2 learned, 3 good friends, 4 easy to admonish, 5 deft in duties, 6 joyful in Dhamma-vinaya, 7 content, 8 energetic,  9 mindful & 10 wise	10 right practices:  right view, right thought, right speech, right action, right livelihood, right effort, right mindfulness, right samadhi, right knowledge, and right freedom.	10 sense fields:  eye and sights, ear and sounds, nose and smells, tongue and tastes, body and touches.	10 wrong ways: wrong view, wrong thought, wrong speech, wrong action, wrong livelihood, wrong effort, wrong mindfulness, wrong samadhi, wrong knowledge, and wrong freedom.	10 ways of doing unskillful deeds:  killing living creatures, stealing, and sexual misconduct; speech that’s false, divisive, harsh, or nonsensical; covetousness, ill will, and wrong view.	10 ways of doing skillful deeds:  refraining from killing living creatures, stealing, and sexual misconduct; avoiding speech that’s false, divisive, harsh, or nonsensical; contentment, good will, and right view	10 noble abodes.  1 has given up five hindrances, 2 equanimus to six senses, 3 guarded by mindfulness, 4 has four supports:  After reflection uses some things, endures some things, avoids some things, and gets rid of some things; 5 has eliminated idiosyncratic interpretations of the truth, 6 has totally given up searching for sensuality,  existence or spirituality; 7 has right intentions, 8 still body processes in 4th jhana, 9 is well freed in mind from greed, hate, and delusion & 10 well freed by wisdom knowing  they’re unable to arise in the future	10 kinds of reverence for praise: one have and praise 1 faith, 2 ethics, 3 desire less, 4 contentment, 5 seclusion,  6 well learned, 7 energy, 8 practice samadhi, 9 consumate in samadhi and 10 realize feedom	10 grounds for wearing away many bad, unskillful qualities of wrong path by developing right path	10 qualities of an adept:  Adept’s right view, right thought, right speech, right action, right livelihood, right effort, right mindfulness, right samadhi, right knowledge, and right freedom.
